naslov,opis,kategorija,leto,lokacija,tip,url
Longest reef,"The Great Barrier Reef off Queensland, north-eastern Australia, is approximately 2,300 km (1,430 miles) in length. Its entire span comprise a chain of some 3,000 smaller reefs and around 900 islands.",nature,1962,United Kingdom,longest,https://www.guinnessworldrecords.com/world-records/66687-longest-reef.html
Most dangerous ant,"The most dangerous ant in the world is the bulldog ant (Myrmecia pyriformis) found in coastal regions in Australia. In attack it uses its sting and jaws simultaneously. There have been at least three human fatalities since 1936, the latest a Victorian farmer in 1988.",nature,1936,United Kingdom,most,https://www.guinnessworldrecords.com/world-records/most-dangerous-ant.html
Most dangerous tree,"A member of the spurge family, the world’s most dangerous tree is the manchineel (Hippomane mancinella) of the Florida Everglades and the Caribbean coast. The sap that its trunk exudes is so poisonous and acidic that the merest contact with human skin causes a breakout of blisters, and blindness can occur if it touches a person’s eyes. Even standing under it in the rain is enough to cause blistering if the skin is wetted by raindrops containing any sap. In addition, a single bite of its small green apple-like fruit causes blistering and severe pain, and can prove fatal. And if one of these deadly trees is burned, the resulting smoke can cause blindness if it reaches a person’s eyes.",nature,2011,USA,most,https://www.guinnessworldrecords.com/world-records/most-dangerous-tree.html
Tallest waterfall,"The tallest waterfall is Kerepakupai Merú, aka Salto Ángel or Angel Falls, located on a branch of the Carrao River, an upper tributary of the Caroní River, in eastern Venezuela, with a total drop of 979 m (3,212 ft); its longest single drop, which is also a record, is 807 m (2,648 ft).",nature,1956,United Kingdom,tallest,https://www.guinnessworldrecords.com/world-records/highest-waterfall.html
Largest mammal to build a nest,"The largest mammal to construct a nest is the gorilla (Gorilla gorilla) of Africa, where adult males measure between 1.7-1.8 m (5 ft 6 in - 6 ft) tall and weigh 136-227 kg (300-500 lb). Everyday, the gorillas each create a new ground nest from the surrounding vegetation. The nests are circular and typically measure 1 m (3 ft 3 in) in diameter.",nature,2004,United Kingdom,largest,https://www.guinnessworldrecords.com/world-records/largest-mammal-to-build-a-nest.html
Largest genus of pitcher plants,"The largest genus of pitcher plants is Nepenthes , the so-called tropical pitcher plants, which contains approximately 150 species (researchers have yet to agree upon the precise number), plus numerous hybrids and cultivars. As this genus contains all of the species present within the taxonomic family Nepenthaceae, this means that the latter family is the largest family of pitcher plants. There are three separate families in total.",nature,2015,United Kingdom,largest,https://www.guinnessworldrecords.com/world-records/407323-largest-genus-of-pitcher-plants.html
Biome with the greatest biodiversity,"The total number of animal and plant species that exist in the world’s tropical rainforests is unknown and scientists continue to use best estimates based on current knowledge. Current estimates of rainforest biodiversity suggest that perhaps 50–75% of all Earth’s living species are concentrated in rainforests, which currently cover around 6–7% of Earth’s surface.",nature,2017,United Kingdom,greatest,https://www.guinnessworldrecords.com/world-records/100813-biome-with-the-greatest-biodiversity.html
Most active volcano,"The world's most active volcano is Kilauea, in Hawaii, USA, erupting on a continuous basis since 1983. Lava is being discharged at a rate of 5 m³(7 yd³ or 176 ft³) per second.",nature,1983,USA,most,https://www.guinnessworldrecords.com/world-records/most-active-volcano.html
Highest mountain,"With its summit at 8,848.86 m (29,031 ft 8 in) above sea level, Everest (aka Sagarmāthā or Chomolungma) is the highest mountain on Earth. In 2020, a joint initiative by Chinese and Nepalese land surveyors announced that Everest’s height had grown from the 8,848 m (29,029 ft) elevation that had been logged by the Survey of India in 1954. The relatively young Himalayan mountains are still on the rise because the collision between the Indian and Eurasian tectonic plates, which formed the range, is still ongoing.",nature,2020,USA,highest,https://www.guinnessworldrecords.com/world-records/highest-mountain.html
Highest clouds,"The highest clouds in the atmosphere are noctilucent clouds. Best seen in the lower and higher latitudes, these beautiful, tenuous phenomena form at altitudes of around 80 km (50 miles), above 99.9% of the atmosphere. They can be seen occasionally after the Sun has set when, due to their high altitude, they are still illuminated by the Sun's rays. They are believed to form a mixture of ice crystals and dust from meteors.",nature,2002,United Kingdom,highest,https://www.guinnessworldrecords.com/world-records/77385-highest-clouds.html
Fastest growing plant,"The world record for the fastest growing plant belongs to certain species of the 45 genera of bamboo, which have been found to grow at up to 91 cm (35 in) per day or at a rate of 0.00003 km/h (0.00002 mph).",nature,1999,USA,fastest,https://www.guinnessworldrecords.com/world-records/fastest-growing-plant.html
Tallest mountain face,"The Rupal face of Nanga Parbat, in the western Himalayas, Pakistan, is a single rise of some 5,000 m (16,000 ft) from the valley floor to the summit. The mountain itself, with a summit at 8,125 m (26,656 ft), is the 9th highest mountain in the world and the highest mountain in Pakistan.",nature,2004,United Kingdom,tallest,https://www.guinnessworldrecords.com/world-records/tallest-mountain-face.html
